index,name,deType,deFunctionType,pixelAddition,defaultBailout,analyticFunction,coloringFunction
transfBenesiT1Mod,"T>Benesi T1 Mod",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfBenesiT2,"T>Benesi T2",deltaDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfBenesiT3,"T>Benesi T3",deltaDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfBenesiT4,"T>Benesi T4",deltaDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfBenesiT5b,"T>Benesi T5b",deltaDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfBenesiMagForward,"T>Benesi Mag Forward",analyticDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfBenesiMagBackward,"T>Benesi Mag Backward",analyticDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfBenesiCubeSphere,"T>Benesi Cube>Sphere",deltaDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfBenesiSphereCube,"T>Benesi Sphere>Cube",deltaDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfBoxFold,"T>Box Fold",analyticDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfBoxFoldVaryV1,"T>Box Fold VaryV1",analyticDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfBoxFoldXYZ,"T>Box Fold XYZ",analyticDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfBoxOffset,"T>Box Offset",analyticDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfDiagonalFold,"T>Diagonal Fold",analyticDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfFoldingTetra3d,"T>Folding Tetra 3D",analyticDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfGnarl,T>Gnarl,analyticDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfIterationWeight,"T>Iteration Weight",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfInvCylindrical,"T>Inverse Cylindrical",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfLinCombineCXYZ,"T>Linear Combine CXYZ",analyticDEType,withoutDEFunction,cpixelAlreadyHas,100,analyticFunctionNone,coloringFunctionDefault
transfMengerFold,"T>Menger Fold",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfMultipleAngle,"T>Multiple angle",analyticDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfOctoFold,"T>Octo Fold",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfParabFold,"T>Parab Fold",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfPlatonicSolid,"T>Platonic Solid",deltaDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfPolyFoldAtan,"T>Poly Fold Atan",analyticDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfPolyFoldAtan2,"T>Poly Fold Atan2",analyticDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfPolyFoldSymXY,"T>Poly Fold Sym XY",analyticDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfPolyFoldSymMulti,"T>Poly Fold Sym Multi",analyticDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfPwr2Polynomial,"T>Power2 Polynomial",analyticDEType,linearDEFunction,cpixelDisabledByDefault,10,analyticFunctionLinear,coloringFunctionDefault
transfQuaternionFold,"T>Quaternion Fold",analyticDEType,logarithmicDEFunction,cpixelDisabledByDefault,100,analyticFunctionLogarithmic,coloringFunctionDefault
transfReciprocal3,T>Reciprocal3,analyticDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfRotateAboutVec3,"T>Rotate About Vec3",analyticDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfRotation,T>Rotation,analyticDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfRotationIterControls,"T>Rotation Iter Controls",analyticDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfRotationVaryV1,"T>Rotation VaryV1",analyticDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfRotationFoldingPlane,"T>Rotation Folding Plane",analyticDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfRotationFolding,"T>Rotation Folding",analyticDEType,withoutDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfRPower,T>R^Power,analyticDEType,logarithmicDEFunction,cpixelDisabledByDefault,100,analyticFunctionLogarithmic,coloringFunctionDefault
transfRpow3,T>Rpow3,analyticDEType,logarithmicDEFunction,cpixelDisabledByDefault,100,analyticFunctionLogarithmic,coloringFunctionDefault
transfScale,T>Scale,analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfScaleVaryV212,"T>Scale Vary V2.12",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfScaleVaryMulti,"T>Scale Vary Multi",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfScaleVaryV1,"T>Scale VaryV1",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfScaleVaryVCL,"T>Scale VaryVCL",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfScale3d,"T>Scale 3D",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfSinOrCos,"T>Sin Or Cos",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfSinAndCos,"T>Sin And Cos",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfSinAndCosMax,"T>Sin And Cos - Max",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfSphericalInv,"T>Spherical Invert",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfSphericalInvV2,"T>Spherical Invert V2",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfSphericalInvC,"T>Spherical Invert C",analyticDEType,withoutDEFunction,cpixelAlreadyHas,100,analyticFunctionNone,coloringFunctionDefault
transfSphericalFold,"T>Spherical Fold",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfSphericalFoldAbox,"T>Spherical Fold ABox",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfSphericalFoldCHS,"T>Spherical Fold CHS",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfSphericalFoldCuboid,"T>Spherical Fold Cuboid",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfSphericalFoldParab,"T>Spherical Fold Parab",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfSphericalFoldVaryV1,"T>Spherical Fold VaryV1",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfSphericalFoldVaryVCL,"T>Spherical Fold VaryVCL",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfSphericalFoldXYZBias,"T>Spherical Fold XYZ Bias",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfSphericalPwrFold,"T>Spherical Pwr Fold",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionNone,coloringFunctionDefault
transfSphericalOffset,"T>Spherical Offset",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
transfSphericalOffsetVCL,"T>Spherical OffsetVCL",analyticDEType,linearDEFunction,cpixelDisabledByDefault,100,analyticFunctionLinear,coloringFunctionDefault
